,instruction,Category
18521,I need assistance to unsubscribeto the company newsletter,Login and Account
18522,I want ehlp demanding a reimbursement of money,Cancellations and returns
18523,is it possible to giev a quick look at the bill #37777?,Shipping
18524,i expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
18525,chcek bills from {{Person Name}},Shipping
18526,I need assistance lodging a claim,Shopping
18527,i have got to reeport issues with signup,Login and Account
18528,I want to change to the standard account,Login and Account
18529,"I do not understand anything you say, talk with a live agent",Warranty
18530,show early exit penalty,Cancellations and returns
18531,how do  i open a {{Account Category}} account for my daughter,Login and Account
18532,would it be possible to inform of a problem with payment?,Order
18533,delete some items from order {{Order Number}},Order
18534,I am trying to notify of registration issues,Login and Account
18535,I want help to shop some bloody articles,Order
18536,want help to speak to someone,Warranty
18537,change information on {{Account Category}} account,Login and Account
18538,I want help seeing how soonj can I expect my parcel,Shipping
18539,assistance restoring the goddamn PIN code of my user account,Login and Account
18540,can I cancel my subscription to the corporate newsletter?,Login and Account
18541,help me opening a pro account for my fiance,Login and Account
18542,can i make a consumer reclamation,Shopping
18543,new {{Account Category}} acount,Login and Account
18544,I don't know what I have to do to delete a premium account,Login and Account
18545,i do not know what to do to switch to the {{Account Type}} account,Login and Account
18546,canceling {{Account Type}} account,Login and Account
18547,can I report an issue with signup?,Login and Account
18548,there are issues modifying my address,Shipping
18549,i do not know how to unsubscribe to ur corporate newsletter,Login and Account
18550,I don't know what to do to contact a live agent,Warranty
18551,I need assistance tracking my reimbursement,Cancellations and returns
18552,I need assistance checking when my item is going to arrive,Shipping
18553,I want assistance editing purchase {{Order Number}},Order
18554,how do i delet some items from order {{Order Number}},Order
18555,I need help to demand a compensation of money,Cancellations and returns
18556,I don't know what I need to do to contact a live agent,Warranty
18557,"I want to see your payment methods, how to do it?",Order
18558,question about the passowrd reset,Login and Account
18559,I do not know what to od to download my bill #37777,Shipping
18560,problem with creating a gold account,Login and Account
18561,I have a question about opening freemium accounts,Login and Account
18562,i need help seeing the early termination charge,Cancellations and returns
18563,need help downloading the invoices from {{Person Name}},Shipping
18564,can you help me giving a quick look at my bill #12588?,Shipping
18565,changing details on {{Account Type}} account,Login and Account
18566,need assistance checking the termiation fee,Cancellations and returns
18567,I don't know what I need to do to speak to a live agent,Warranty
18568,"I want to see what shipping methods are there, help me",Shipping
18569,see cancellation charge,Cancellations and returns
18570,i dont know how to write a comment about ur products,Shopping
18571,I do not want purchase {{Order Number}},Order
18572,where could I get information about updating my address?,Shipping
18573,I can't see the ETA of purchase {{Order Number}},Order
18574,checking invoice from {{Person Name}},Shipping
18575,can you help me notify of errors with payment?,Order
18576,need help ot recover the pin of my user,Login and Account
18577,modify details on platinum account,Login and Account
18578,what do i need to do to inform of problems wiht payment,Order
18579,y i cannot enter my secondary shipping address valid,Shipping
18580,can I inform of a problem with registrations?,Login and Account
18581,I need help with canceling purchase {{Order Number}},Order
18582,show me in which cases can I request refunds,Cancellations and returns
18583,want help oopening a {{Account Type}} account,Login and Account
18584,"I would like to make a reclamation, how do I do it?",Shopping
18585,there is a trouble correcting my delivery adxdress,Shipping
18586,need to send my freedback for ur products how can i do it,Shopping
18587,"I have got to subscribe to the newsletter, I need assistance",Login and Account
18588,send me mybill from {{Person Name}},Shipping
18589,correct info on {{Account Type}} account,Login and Account
18590,help to see the status of my rebate,Cancellations and returns
18591,I'm trying to contact customer service,Warranty
18592,i need assistance to get the invoice #85632,Shipping
18593,I have issues modifying the delivery address,Shipping
18594,I want help to set my shipping address up,Shipping
18595,can ya help me check how long reimbursemenst take,Cancellations and returns
18596,I do not know how to get my bill from {{Person Name}},Shipping
18597,i try to leave my feedback,Shopping
18598,i do not know what i need to do to download the bioll #12588,Shipping
18599,how to see order {{Order Number}} status?,Order
18600,I don't know what to do to speak to an assistant,Warranty
18601,help to make a consumer claim against your company,Shopping
18602,help seeing the ETA of the purchase00123842,Order
18603,I want support trying to edit my shipping address,Shipping
